"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\Admin\Desktop\DemoApp\src\components\CpuUsage.js", "JavaScript", 38, 0, 5, 43
"c:\Users\Admin\Desktop\DemoApp\src\components\Navbar.js", "JavaScript", 31, 0, 2, 33
"c:\Users\Admin\Desktop\DemoApp\src\components\ScanProgressUI.js", "JavaScript", 95, 0, 6, 101
"c:\Users\Admin\Desktop\DemoApp\src\components\Sidebar.js", "JavaScript", 75, 0, 6, 81
"c:\Users\Admin\Desktop\DemoApp\src\components\StorageStats.js", "JavaScript", 187, 29, 16, 232
"c:\Users\Admin\Desktop\DemoApp\src\layouts\MainLayout.js", "JavaScript", 32, 0, 4, 36
"c:\Users\Admin\Desktop\DemoApp\src\navigation\AppNavigator.js", "JavaScript", 96, 0, 9, 105
"c:\Users\Admin\Desktop\DemoApp\src\navigation\index.js", "JavaScript", 2, 0, 2, 4
"c:\Users\Admin\Desktop\DemoApp\src\screens\AboutUs.js", "JavaScript", 114, 0, 14, 128
"c:\Users\Admin\Desktop\DemoApp\src\screens\Contacts.js", "JavaScript", 158, 1, 13, 172
"c:\Users\Admin\Desktop\DemoApp\src\screens\Dashboard.js", "JavaScript", 122, 12, 22, 156
"c:\Users\Admin\Desktop\DemoApp\src\screens\HomeScreen.js", "JavaScript", 139, 3, 19, 161
"c:\Users\Admin\Desktop\DemoApp\src\screens\InitialScan.js", "JavaScript", 249, 16, 9, 274
"c:\Users\Admin\Desktop\DemoApp\src\screens\NotificationHandlerScreen.js", "JavaScript", 27, 0, 4, 31
"c:\Users\Admin\Desktop\DemoApp\src\screens\OnboardingScreen.js", "JavaScript", 43, 0, 7, 50
"c:\Users\Admin\Desktop\DemoApp\src\screens\ResultsScreen.js", "JavaScript", 308, 7, 17, 332
"c:\Users\Admin\Desktop\DemoApp\src\screens\SettingsScreen.js", "JavaScript", 722, 50, 46, 818
"c:\Users\Admin\Desktop\DemoApp\src\utils\fileUtils.js", "JavaScript", 10, 1, 2, 13
"c:\Users\Admin\Desktop\DemoApp\src\utils\permissions.js", "JavaScript", 11, 1, 3, 15
"Total", "-", 2459, 120, 206, 2785
